billboard_ranking,song,artist,year,popular_or_not,album_id,album,spotify_popularity,audio_link
1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,1,4IRiXE5NROxknUSAUSjMoO,7 EP,77,https://p.scdn.co/mp3-preview/32744d501b733e5b31d25448540e365db2600c45?cid=6a78982078cb477d900388b0470ad9ad
2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019,1,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,86,
3,Without Me,Halsey,2019,1,68enXe5XcJdciSDAZr0Alr,Manic,82,
4,Bad Guy,Billie Eilish,2019,1,0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",83,
5,Wow.,Post Malone,2019,1,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,82,
6,Happier,Marshmello & Bastille,2019,1,2u4Yp2ADTKYPwFSBFL4ffa,Happier,85,https://p.scdn.co/mp3-preview/a23fe33122a12a302b97c443ab82473ce55df8fd?cid=6a78982078cb477d900388b0470ad9ad
7,7 Rings,Ariana Grande,2019,1,2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",85,
8,Talk,Khalid,2019,1,6KT8x5oqZJl9CcnM66hddo,Free Spirit,72,https://p.scdn.co/mp3-preview/661e932327a67700d06ea7aeebf13de8c5b56d3d?cid=6a78982078cb477d900388b0470ad9ad
9,Sicko Mode,Travis Scott,2019,1,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,85,https://p.scdn.co/mp3-preview/8229545ded5cacf393f62b17af653dfc8171fc85?cid=6a78982078cb477d900388b0470ad9ad
10,Sucker,Jonas Brothers,2019,1,1Uf67JAtkVWfdydzFFqNF2,Happiness Begins,81,
11,High Hopes,Panic! At The Disco,2019,1,6ApYSpXF8GxZAgBTHDzYge,Pray for the Wicked,84,https://p.scdn.co/mp3-preview/f6995ad54d79b7ffaf0da6833409666ada11a173?cid=6a78982078cb477d900388b0470ad9ad
12,"Thank U, Next",Ariana Grande,2019,1,5UACk85y1hNRSUtY0ss8pb,k bye for now (swt live),42,
13,Truth Hurts,Lizzo,2019,1,2KJjOBX280F3hZZE1xO33O,Cuz I Love You (Super Deluxe),73,https://p.scdn.co/mp3-preview/3881b5ad53b2b6f1600bbc3b23a86ae256077ace?cid=6a78982078cb477d900388b0470ad9ad
14,Dancing With A Stranger,Sam Smith & Normani,2019,1,5XCBX16KNYsAe7V5hQV9mC,Love Goes,79,
15,Senorita,Shawn Mendes & Camila Cabello,2019,1,0xzScN8P3hQAz3BT3YYX5w,Shawn Mendes (Deluxe),81,
16,I Don't Care,Ed Sheeran & Justin Bieber,2019,1,5Nux7ozBJ5KJ02QYWwrneR,I Don't Care (with Justin Bieber),77,https://p.scdn.co/mp3-preview/03dbc7b6fcafda4f5c223036f0ca919f2b65da25?cid=6a78982078cb477d900388b0470ad9ad
17,Eastside,"benny blanco, Halsey & Khalid",2019,1,7LreUNVNWm9I2bIcD0WqZk,RAW,38,
18,Going Bad,Meek Mill Featuring Drake,2019,1,2Iimezk7HSkuLBTkN4XDGD,Hiphop Hits,14,https://p.scdn.co/mp3-preview/74a62be3a87dc4071ba8135d9a1ee95249d9e91f?cid=6a78982078cb477d900388b0470ad9ad
19,Shallow,Lady Gaga & Bradley Cooper,2019,1,4sLtOBOzn4s3GDUv3c5oJD,A Star Is Born Soundtrack,85,
20,Better,Khalid,2019,1,4UNwL1B7JoymNUiTFJa52B,Suncity,77,https://p.scdn.co/mp3-preview/53628306c2f75919230ea58eb3083adabe6a99d5?cid=6a78982078cb477d900388b0470ad9ad
21,No Guidance,Chris Brown Featuring Drake,2019,1,1BfLzaTFI5qKsAAk0Ae6aV,Indigo,78,https://p.scdn.co/mp3-preview/1b5fe75b6bfa48ebacdfe0ee11e8c548ee96e2f3?cid=6a78982078cb477d900388b0470ad9ad
