billboard_ranking,song,artist,year,popular_or_not,track_id,spotify_popularity,album,album_id,audio_link
1,Last Night,Morgan Wallen,2023,1,7K3BhSpAxZBznislvUMVtn,85,One Thing At A Time,6i7mF7whyRJuLJ4ogbH2wh,
2,Flowers,Miley Cyrus,2023,1,7DSAEUvxU8FajXtRloy8M0,92,Endless Summer Vacation,5DvJgsMLbaR1HmAI6VhfcQ,https://p.scdn.co/mp3-preview/5184d19d1b7fcc3e7c067e38af45a7cc80851440?cid=cfe923b2d660439caf2b557b21f31221
3,Kill Bill,SZA,2023,1,3OHfY25tqY28d16oZczHc8,83,SOS,07w0rG5TETcyihsEIZR3qG,https://p.scdn.co/mp3-preview/49dfe4ea78c5d3c5d2923d4a34c50fc4709855cb?cid=cfe923b2d660439caf2b557b21f31221
4,Anti-Hero,Taylor Swift,2023,1,0V3wPSX9ygBnCm8psDIegu,89,Midnights,151w1FgRZfnKZA9FEcg9Z3,
5,Creepin',"Metro Boomin, The Weeknd & 21 Savage",2023,1,2dHHgzDwk4BJdRwy9uXhTO,87,HEROES & VILLAINS,7txGsnDSqVMoRl6RQ9XyZP,
6,Calm Down,Rema & Selena Gomez,2023,1,1s7oOCT8vauUh01PbJD6ps,78,Rave & Roses Ultra,0nayxjaX54Frd7GsZq6Pbs,
7,Die For You,The Weeknd & Ariana Grande,2023,1,2Ch7LmS7r2Gy2kc64wv3Bz,82,Starboy,2ODvWsOgouMbaA5xf0RkJe,
8,Fast Car,Luke Combs,2023,1,1Lo0QY9cvc8sUB2vnIOxDT,87,Gettin' Old,5Uly85dJHHDfHQCsyUQ8gw,https://p.scdn.co/mp3-preview/1dc0426c95058783e0fe1d70c41583ca98317108?cid=cfe923b2d660439caf2b557b21f31221
9,Snooze,SZA,2023,1,4iZ4pt7kvcaH6Yo8UoZ4s2,91,SOS,07w0rG5TETcyihsEIZR3qG,https://p.scdn.co/mp3-preview/8c53920b5fd2c3178afa36cac9eec68b5ee9204a?cid=6a78982078cb477d900388b0470ad9ad
10,I'm Good (Blue),David Guetta & Bebe Rexha,2023,1,4uUG5RXrOk84mYEfFvj3cK,90,Bebe,0FWLTTcCKsd3b1PiW9GTEN,https://p.scdn.co/mp3-preview/c1de960c1a98f7ab652331e5223c50baba75c460?cid=6a78982078cb477d900388b0470ad9ad
11,Unholy,Sam Smith & Kim Petras,2023,1,0NZPBYD5qbEWRs3PrGiRkT,78,Gloria,3Uq1jNGnD412ZvCb6j2DKV,
12,You Proof,Morgan Wallen,2023,1,5W4kiM2cUYBJXKRudNyxjW,84,One Thing At A Time,6i7mF7whyRJuLJ4ogbH2wh,
13,Something In The Orange,Zach Bryan,2023,1,3WMj8moIAXJhHsyLaqIIHI,89,Something in the Orange,1CmTOKCeyz1aHH04OwvTPv,https://p.scdn.co/mp3-preview/d33dc9df586e24c9d8f640df08b776d94680f529?cid=6a78982078cb477d900388b0470ad9ad
14,Rich Flex,Drake & 21 Savage,2023,1,1bDbXMyjaUIooNwFE9wn0N,82,Her Loss,5MS3MvWHJ3lOZPLiMxzOU6,
15,As It Was,Harry Styles,2023,1,4Dvkj6JhhA12EX05fT7y2e,92,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=cfe923b2d660439caf2b557b21f31221
