billboard_ranking,song,artist,year,popular_or_not,track_id,spotify_popularity,album,album_id,audio_link
2,Flowers,Miley Cyrus,2023,1,7DSAEUvxU8FajXtRloy8M0,92,Endless Summer Vacation,5DvJgsMLbaR1HmAI6VhfcQ,https://p.scdn.co/mp3-preview/5184d19d1b7fcc3e7c067e38af45a7cc80851440?cid=cfe923b2d660439caf2b557b21f31221
3,Kill Bill,SZA,2023,1,3OHfY25tqY28d16oZczHc8,83,SOS,07w0rG5TETcyihsEIZR3qG,https://p.scdn.co/mp3-preview/49dfe4ea78c5d3c5d2923d4a34c50fc4709855cb?cid=cfe923b2d660439caf2b557b21f31221
8,Fast Car,Luke Combs,2023,1,1Lo0QY9cvc8sUB2vnIOxDT,87,Gettin' Old,5Uly85dJHHDfHQCsyUQ8gw,https://p.scdn.co/mp3-preview/1dc0426c95058783e0fe1d70c41583ca98317108?cid=cfe923b2d660439caf2b557b21f31221
9,Snooze,SZA,2023,1,4iZ4pt7kvcaH6Yo8UoZ4s2,91,SOS,07w0rG5TETcyihsEIZR3qG,https://p.scdn.co/mp3-preview/8c53920b5fd2c3178afa36cac9eec68b5ee9204a?cid=6a78982078cb477d900388b0470ad9ad
10,I'm Good (Blue),David Guetta & Bebe Rexha,2023,1,4uUG5RXrOk84mYEfFvj3cK,90,Bebe,0FWLTTcCKsd3b1PiW9GTEN,https://p.scdn.co/mp3-preview/c1de960c1a98f7ab652331e5223c50baba75c460?cid=6a78982078cb477d900388b0470ad9ad
13,Something In The Orange,Zach Bryan,2023,1,3WMj8moIAXJhHsyLaqIIHI,89,Something in the Orange,1CmTOKCeyz1aHH04OwvTPv,https://p.scdn.co/mp3-preview/d33dc9df586e24c9d8f640df08b776d94680f529?cid=6a78982078cb477d900388b0470ad9ad
15,As It Was,Harry Styles,2023,1,4Dvkj6JhhA12EX05fT7y2e,92,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=cfe923b2d660439caf2b557b21f31221
16,Rock And A Hard Place,Bailey Zimmerman,2023,1,1TE8AAk9koG0UJco6ZAUfx,81,Religiously. The Album.,19DGbjQW4oJmS1TLmr7OH3,https://p.scdn.co/mp3-preview/00044664941fe246993a2db5a7b76f95170b58ab?cid=6a78982078cb477d900388b0470ad9ad
17,Under The Influence,Chris Brown,2023,1,5IgjP7X4th6nMNDh4akUHb,85,Indigo (Extended),3okhA6w5uau6ZNhnVpwVww,https://p.scdn.co/mp3-preview/52295df71df20e33e1510e3983975cd59f6664a4?cid=6a78982078cb477d900388b0470ad9ad
20,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,2023,1,6AQbmUe0Qwf5PZnt4HmTXv,79,Boy's a liar Pt. 2,6cVfHBcp3AdpYY0bBglkLN,https://p.scdn.co/mp3-preview/543d8d09a5530a1ab94dd0c6f83fc4ee3e0d7f96?cid=6a78982078cb477d900388b0470ad9ad
23,Thank God,Kane Brown With Katelyn Brown,2023,1,1brnLTvarI9D1hLP6z2Ar8,74,Different Man,7dfTBn7wtgKEchVmyipBl1,https://p.scdn.co/mp3-preview/852b3a14655f3b1dbd94226b16f87edfc6c82340?cid=6a78982078cb477d900388b0470ad9ad
24,Sure Thing,Miguel,2023,1,0JXXNGljqupsJaZsgSbMZV,86,All I Want Is You,493HYe7N5pleudEZRyhE7R,https://p.scdn.co/mp3-preview/d337faa4bb71c8ac9a13998be64fbb0d7d8b8463?cid=6a78982078cb477d900388b0470ad9ad
