billboard_ranking,song,popular_or_not,spotify_popularity,bpm,loudness,key,key_scale,key_strength,chords_changes_rate,chords_key,chords_number_rate
2,Flowers,1,92,108.94173431396484,-8.183189392089844,Ab,major,0.7207754850387573,0.08011444658041,C,0.014306151308119297
3,Kill Bill,1,83,82.13422393798828,-7.440182685852051,G,major,0.8978808522224426,0.05722460523247719,C#,0.01287553645670414
8,Fast Car,1,87,90.48639678955078,-7.946683883666992,G,major,0.8449737429618835,0.037195995450019836,F#,0.008583690971136093
9,Snooze,1,91,132.22129821777344,-9.520678520202637,Ab,major,0.5705297589302063,0.05293276160955429,C,0.01001430582255125
10,I'm Good (Blue),1,90,118.01884460449219,-6.851043701171875,F,major,0.46003174781799316,0.05865522101521492,F,0.01287553645670414
13,Something In The Orange,1,89,107.98995971679688,-12.245369911193848,Bb,minor,0.7969918847084045,0.05865522101521492,Bb,0.015736766159534454
15,As It Was,1,92,80.19071197509766,-6.086731910705566,Ab,major,0.837062656879425,0.037195995450019836,A,0.01001430582255125
16,Rock And A Hard Place,1,81,113.08403778076172,-7.925734519958496,C,major,0.8750736117362976,0.040057223290205,E,0.01001430582255125
17,Under The Influence,1,85,108.1378402709961,-9.687305450439453,Ab,minor,0.8053411245346069,0.06723891198635101,G,0.014306151308119297
20,"Boy's A Liar, Pt. 2",1,79,122.90646362304688,-9.377083778381348,E,major,0.8471720814704895,0.06580829620361328,Eb,0.01287553645670414
23,Thank God,1,74,92.39922332763672,-9.876447677612305,D,major,0.8842666149139404,0.055793993175029755,Bb,0.008583690971136093
24,Sure Thing,1,86,74.7103042602539,-8.850597381591797,C,minor,0.8090678453445435,0.041487839072942734,E,0.011444921605288982
25,All My Life,1,76,132.38548278808594,-9.8917236328125,C,major,0.533636212348938,0.03290414810180664,C#,0.01001430582255125
26,Ella Baila Sola,1,80,91.68315887451172,-7.32620906829834,G,major,0.5327374935150146,0.061516452580690384,C#,0.01287553645670414
28,Just Wanna Rock,1,77,138.1432647705078,-7.825309753417969,F,minor,0.5874441862106323,0.037195995450019836,C#,0.0071530756540596485
29,Cuff It,1,81,106.11165618896484,-8.993989944458008,Bb,minor,0.665439784526825,0.10586552321910858,D,0.014306151308119297
