album,album_id,artist,year,billboard_ranking,popular_or_not,song,track_id,spotify_popularity,audio_link,bpm,loudness,key,key_scale,key_strength,chords_changes_rate,chords_key,chords_number_rate
Endless Summer Vacation,5DvJgsMLbaR1HmAI6VhfcQ,Miley Cyrus,2023,0,0,Handstand,6eiNVtWCRsU7N6JDPXFI2W,56,https://p.scdn.co/mp3-preview/c55b106ce42d91f075157fde497d392098b49a4c?cid=6a78982078cb477d900388b0470ad9ad,84.84477996826172,-6.331167221069336,C,major,0.7132393717765808,0.04577968642115593,E,0.011444921605288982
SOS,07w0rG5TETcyihsEIZR3qG,SZA,2023,0,0,Too Late,4rAg5bbrdZX00mXXhLvYXj,66,https://p.scdn.co/mp3-preview/cfd6bdd6babe9cead7864fc74f451307b38423e4?cid=6a78982078cb477d900388b0470ad9ad,88.36068725585938,-9.983154296875,F,major,0.8998857736587524,0.061516452580690384,C#,0.01001430582255125
Gettin' Old,5Uly85dJHHDfHQCsyUQ8gw,Luke Combs,2023,0,0,A Song Was Born,4AhZSJyGTfYqUnFjn5eGQa,55,https://p.scdn.co/mp3-preview/3cb99b6f94fb1007f3b5daea212f057502743021?cid=6a78982078cb477d900388b0470ad9ad,144.08799743652344,-6.944606781005859,E,major,0.7289247512817383,0.07153075933456421,Bb,0.01287553645670414
SOS,07w0rG5TETcyihsEIZR3qG,SZA,2023,0,0,Too Late,4rAg5bbrdZX00mXXhLvYXj,66,https://p.scdn.co/mp3-preview/cfd6bdd6babe9cead7864fc74f451307b38423e4?cid=6a78982078cb477d900388b0470ad9ad,88.36068725585938,-9.983154296875,F,major,0.8998857736587524,0.061516452580690384,C#,0.01001430582255125
Bebe,0FWLTTcCKsd3b1PiW9GTEN,David Guetta & Bebe Rexha,2023,0,0,Born Again,29y1cN7e9sTX0gBx4y7OCv,32,https://p.scdn.co/mp3-preview/2cfae3cf9aa275f7a8a48f2f21db196844243ac8?cid=6a78982078cb477d900388b0470ad9ad,123.17308044433594,-10.272271156311035,Ab,major,0.8448662757873535,0.040057223290205,C,0.008583690971136093
Something in the Orange,1CmTOKCeyz1aHH04OwvTPv,Zach Bryan,2023,0,0,Highway Boys,0n24rKtLYHO2DK99uCW8BL,49,https://p.scdn.co/mp3-preview/d4d97136f6a3070a641cf0ce4367f701cfe33375?cid=6a78982078cb477d900388b0470ad9ad,142.8358154296875,-10.700159072875977,Ab,minor,0.40515023469924927,0.055793993175029755,G,0.01287553645670414
Harry's House,5r36AJ6VOJtp00oxSkBZ5h,Harry Styles,2023,0,0,Boyfriends,6qj02zSeEJGWZ4c0dn5QzJ,68,https://p.scdn.co/mp3-preview/c2c5b9e635ce52f761d1bbb626061a711d979672?cid=6a78982078cb477d900388b0470ad9ad,110.40644836425781,-8.011504173278809,Ab,minor,0.7523258924484253,0.040057223290205,Bb,0.01001430582255125
Religiously. The Album.,19DGbjQW4oJmS1TLmr7OH3,Bailey Zimmerman,2023,0,0,Found Your Love,6IyriuNUSXTJEbuu19Q8oN,49,https://p.scdn.co/mp3-preview/85ef7df797a5522ba70b707bdfa12a52198bc079?cid=6a78982078cb477d900388b0470ad9ad,124.6519546508789,-7.990725517272949,A,major,0.7502065896987915,0.03147353231906891,Ab,0.0071530756540596485
Indigo (Extended),3okhA6w5uau6ZNhnVpwVww,Chris Brown,2023,0,0,Take A Risk,6bY8YGVDEo4jFgGwU7M24R,35,https://p.scdn.co/mp3-preview/d9aa8b364fea5b3877623a120935ef4083ca7cfd?cid=6a78982078cb477d900388b0470ad9ad,105.27363586425781,-7.325560569763184,C,minor,0.6005383729934692,0.06580829620361328,A,0.011444921605288982
Boy's a liar Pt. 2,6cVfHBcp3AdpYY0bBglkLN,PinkPantheress & Ice Spice,2023,0,0,Boy's a Liar,3QUbaXCfksmF19lW32BQE0,51,https://p.scdn.co/mp3-preview/221777a319603445900b65db0ceaccb2624b0df3?cid=6a78982078cb477d900388b0470ad9ad,122.97409057617188,-9.137140274047852,E,major,0.8929640650749207,0.09442060440778732,Eb,0.014306151308119297
Different Man,7dfTBn7wtgKEchVmyipBl1,Kane Brown With Katelyn Brown,2023,0,0,Pop's Last Name,3IOWPcLQRDlLkSalfs507w,37,https://p.scdn.co/mp3-preview/c182d593e8af7612221d78817833531f23aa69e2?cid=6a78982078cb477d900388b0470ad9ad,82.94216918945312,-9.782883644104004,D,minor,0.7303849458694458,0.05436337739229202,A,0.011444921605288982
All I Want Is You,493HYe7N5pleudEZRyhE7R,Miguel,2023,0,0,Overload Enter.lewd,6tmWKd8kKXaYGfhihe5zmp,36,https://p.scdn.co/mp3-preview/8922ef20bf6978b4450fbe5348e5ee4f41cb629e?cid=6a78982078cb477d900388b0470ad9ad,95.06851959228516,-11.756464004516602,C,minor,0.9475268721580505,0.09442060440778732,C,0.01287553645670414
Almost Healed,6ciIG1XKTlVIn0Yl8rvsce,Lil Durk Featuring J. Cole,2023,0,0,Therapy Session,7sc6s7JYr53wn2zBF2Fg1R,40,https://p.scdn.co/mp3-preview/8efea437b06cf4a1b89e8b29cee0c24d9bc0d99f?cid=6a78982078cb477d900388b0470ad9ad,53.63505554199219,-14.108335494995117,C#,minor,0.4152642488479614,0.10872675478458405,C,0.021459227427840233
DESVELADO,5aDEezKnOqyQo0qvTFhpkM,Eslabon Armado X Peso Pluma,2023,0,0,Perdón Jefa,1hobY9dv6oCaInWn5JquVj,44,https://p.scdn.co/mp3-preview/fa05a8abf6e16dda16dfc5a1829fcbd1d083b494?cid=6a78982078cb477d900388b0470ad9ad,122.79198455810547,-10.089202880859375,A,minor,0.47833478450775146,0.10872675478458405,Ab,0.018597997725009918
Pink Tape,2ua5bFkZLZl1lIgKWtYZIz,Lil Uzi Vert,2023,0,0,CS,64b4ElrrZOEp3H1Pac2lG6,50,https://p.scdn.co/mp3-preview/e4c7e84e76f43d35f6c33ffaf809a567d34e01d1?cid=6a78982078cb477d900388b0470ad9ad,117.73711395263672,-8.937740325927734,F,minor,0.4579547345638275,0.07868383079767227,C,0.0200286116451025
RENAISSANCE,6FJxoadUE4JNVwWHghBwnb,Beyonce,2023,0,0,ALL UP IN YOUR MIND,3k4CoiIQXiNBrwrmbBMDxj,65,https://p.scdn.co/mp3-preview/01548e43349e0d6e08423de7eded6c3f86b2b133?cid=6a78982078cb477d900388b0470ad9ad,125.91986846923828,-9.061674118041992,C,minor,0.6757296323776245,0.037195995450019836,E,0.008583690971136093
a Gift & a Curse,5qmZefgh78fN3jsyPPlvuw,Gunna,2023,0,0,born rich,3NNgZSXHElKHPpkCxsP8WB,52,https://p.scdn.co/mp3-preview/d5bdd14106a084bcbca549abec8fb455e2f8e1b6?cid=6a78982078cb477d900388b0470ad9ad,104.44917297363281,-8.328959465026855,G,minor,0.5496038198471069,0.06580829620361328,C#,0.0071530756540596485
Whitsitt Chapel,2v1Lb9hidHkvvlIXYzSmeZ,Jelly Roll,2023,0,0,Hungover In A Church Pew,1UEruiqmQlbAcPkPFjEKUf,49,https://p.scdn.co/mp3-preview/9091e2ea8ee6743c5befc6a4b72e946a830e0c6c?cid=6a78982078cb477d900388b0470ad9ad,76.50201416015625,-8.294173240661621,D,major,0.7060877680778503,0.030042918398976326,C#,0.008583690971136093
Barbie The Album,0BaIaHcyBXuOWeM4Aas4EW,Dua Lipa,2023,0,0,butterflies,3r6wuvcMPjtIWlYdkpdMPM,50,https://p.scdn.co/mp3-preview/c78033ee32881eba7ff5606c5103248dcf178110?cid=6a78982078cb477d900388b0470ad9ad,95.94420623779297,-8.918051719665527,Ab,minor,0.6269994974136353,0.10729613900184631,G,0.0200286116451025
Gettin' Old,5Uly85dJHHDfHQCsyUQ8gw,Luke Combs,2023,0,0,A Song Was Born,4AhZSJyGTfYqUnFjn5eGQa,55,https://p.scdn.co/mp3-preview/3cb99b6f94fb1007f3b5daea212f057502743021?cid=6a78982078cb477d900388b0470ad9ad,144.08799743652344,-6.944606781005859,E,major,0.7289247512817383,0.07153075933456421,Bb,0.01287553645670414
Gemini Rights,3Ks0eeH0GWpY4AU20D5HPD,Steve Lacy,2023,0,0,2Gether (Enterlude),6rTqYkpXwKMv8sBvWB6Fl4,50,https://p.scdn.co/mp3-preview/188ee2a5c888ea6e1eb2b3ef201d22f7e01ab393?cid=6a78982078cb477d900388b0470ad9ad,110.08876037597656,-8.250959396362305,Eb,major,0.6669603586196899,0.05293276160955429,D,0.01287553645670414
La Bebe (Remix),6aBVGuOUEuX18rHxyDWbti,Yng Lvcas x Peso Pluma,2023,0,0,La Bebe,36LtTTJUeVpitIeVfrJcnV,47,https://p.scdn.co/mp3-preview/a38c13f5b2c1877f95959264e2a3a9b7c7a3fbab?cid=6a78982078cb477d900388b0470ad9ad,78.38574981689453,-10.89954948425293,C,minor,0.674712061882019,0.08726752549409866,C,0.01001430582255125
this is what ____ feels like (Vol. 1-4),69AaAkdktFGnk9POmHENkT,JVKE,2023,0,0,save your breath,5Ir3dOzPQ9Q30dC45J6QzH,52,https://p.scdn.co/mp3-preview/2e97d9846202066c33f41f14d357151efb1e646d?cid=6a78982078cb477d900388b0470ad9ad,83.41182708740234,-6.2801313400268555,F,minor,0.7461576461791992,0.05436337739229202,F,0.011444921605288982
Religiously. The Album.,19DGbjQW4oJmS1TLmr7OH3,Bailey Zimmerman,2023,0,0,Found Your Love,6IyriuNUSXTJEbuu19Q8oN,49,https://p.scdn.co/mp3-preview/85ef7df797a5522ba70b707bdfa12a52198bc079?cid=6a78982078cb477d900388b0470ad9ad,124.6519546508789,-7.990725517272949,A,major,0.7502065896987915,0.03147353231906891,Ab,0.0071530756540596485
The Beginning,4lmebGP87hUt2h4nwsfd73,Fifty Fifty,2023,0,0,Tell Me - Live Studio Ver. OT4,14eQiuuQaoGmigbaAn6TK7,28,https://p.scdn.co/mp3-preview/1d0960ed3656b14ecf0b317a716dd9c7f802b546?cid=6a78982078cb477d900388b0470ad9ad,103.41702270507812,-9.88478946685791,F,minor,0.6625024676322937,0.06723891198635101,F#,0.0071530756540596485
